Chromosomes, Parent_Selection, Generations, Parents, Crossover, Elitism, Mutation Type, Mutation Percent, Max Mutation
2,24,tournament,30,12,5,single_point,8,random,25.0,0.05,reach_2450,2466.836848641134
3,24,tournament,30,12,5,single_point,8,random,25.0,0.05,reach_2450,2466.836848641134
4,24,tournament,30,12,5,single_point,8,random,25.0,0.05,reach_2450,2457.158924143711
5,24,tournament,30,12,5,single_point,8,random,25.0,0.05,reach_2450,2466.836848641134
6,24,tournament,30,12,5,single_point,8,random,25.0,0.05,reach_2450,2466.836848641134
7,24,tournament,30,12,5,single_point,8,random,25.0,0.05,reach_2450,2451.6328180566584
8,24,tournament,30,12,5,single_point,8,random,25.0,0.1,reach_2450,2466.836848641134
9,24,tournament,30,12,5,single_point,8,random,25.0,0.1,reach_2450,2461.7866030840682
10,24,tournament,30,12,5,single_point,8,random,25.0,0.1,reach_2450,2466.836848641134
11,24,tournament,30,12,5,single_point,8,random,25.0,0.1,reach_2450,2452.352796098845
12,24,tournament,30,12,5,single_point,8,random,25.0,0.1,reach_2450,2454.900382683449
13,24,tournament,30,12,5,single_point,8,random,25.0,0.1,reach_2450,2466.836848641134
14,24,tournament,30,12,5,single_point,8,random,25.0,0.05,reach_2450,1675.903501624473,True
15,24,tournament,30,12,5,single_point,8,random,25.0,0.05,reach_2450,1683.6880567083292,False
16,24,tournament,30,12,5,single_point,8,random,25.0,0.05,reach_2450,1679.270599212061,True, HERE
17,24,tournament,30,16,10,single_point,4,random,25.0,0.05,saturate_15,2241.134913478686,True
18,24,tournament,30,16,10,single_point,4,random,25.0,0.05,saturate_15,2241.134913478686,True
19,24,tournament,30,16,10,single_point,4,random,25.0,0.05,saturate_15,2241.134913478686,True
20,24,tournament,30,12,5,single_point,8,random,25.0,0.1,saturate_15,2466.836848641134,True
21,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,1.0897090555353277,True
22,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,1.0897090555353277,True
23,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.9547733055294909,True
24,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.9564222905461844,False
25,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.9576308755404391,True
26,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.9618304836319497,True
27,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.9787679369803594,True
28,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.950282842548962,True
29,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.9643276494485371,False
30,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.9625258938288093,False
31,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.9527632807203045,True
32,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.8193794526858932,True
33,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.8155250749138158,True
34,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.8827540170177656,True
35,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.8433735510119478,True
36,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.8593733067540581,True
37,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.844867485646316,True
38,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.841406137021291,True
39,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.8249952730640481,True
40,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,0.8299108034714554,True
19,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,1.108815042208632
20,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,1.1067993301897405
21,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,1.181081745154019
22,24,tournament,15,12,5,single_point,8,random,25.0,0.1,saturate_15,1.1621084065079585
